Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
574;0,087358437;526;0,033862572
574,4000244;0,087540612;525,5999756;0,034260198
574,7999878;0,087653965;525,2000122;0,035006259
575,2000122;0,087856509;524,7999878;0,035631917
575,5999756;0,087974854;524,4000244;0,035966966
576;0,088113911;524;0,036632594
576,4000244;0,088189982;523,5999756;0,037425548
576,7999878;0,088466048;523,2000122;0,03794542
577,2000122;0,088766396;522,7999878;0,038614571
577,5999756;0,088835567;522,4000244;0,03946371
578;0,08888337;522;0,040174589
578,4000244;0,089127742;521,5999756;0,040917408
578,7999878;0,089213721;521,2000122;0,041858736
579,2000122;0,08930818;520,7999878;0,04274904
579,5999756;0,089491487;520,4000244;0,043810759
580;0,089569524;520;0,04481478
580,4000244;0,089791015;519,5999756;0,045890201
580,7999878;0,089672647;519,2000122;0,04686949
581,2000122;0,090021342;518,7999878;0,047799289
581,5999756;0,090122379;518,4000244;0,049032893
582;0,090052649;518;0,050200205
582,4000244;0,090090014;517,5999756;0,051326673
582,7999878;0,090170071;517,2000122;0,052476984
583,2000122;0,090157703;516,7999878;0,053900704
583,5999756;0,090425111;516,4000244;0,055272747
584;0,090424381;516;0,056565713
584,4000244;0,09024743;515,5999756;0,057949644
584,7999878;0,090299852;515,2000122;0,059704117
585,2000122;0,090310395;514,7999878;0,061032437
585,5999756;0,09036684;514,4000244;0,062518939
586;0,09041284;514;0,064101413
586,4000244;0,090457663;513,5999756;0,066194788
586,7999878;0,090329744;513,2000122;0,067577071
587,2000122;0,09007138;512,7999878;0,069456846
587,5999756;0,090162069;512,4000244;0,071128786
588;0,090172142;512;0,073145241
588,4000244;0,090161145;511,6000061;0,075114958
588,7999878;0,090103738;511,1999817;0,077135354
589,2000122;0,090140946;510,7999878;0,079139538
589,5999756;0,090181567;510,3999939;0,081174113
590;0,090138525;510;0,083450712
590,4000244;0,090062842;509,6000061;0,085683405
590,7999878;0,089989498;509,1999817;0,088027097
591,2000122;0,090024114;508,7999878;0,090299979
591,5999756;0,089935012;508,3999939;0,09294951
592;0,090057522;508;0,095283374
592,4000244;0,090151146;507,6000061;0,097715288
592,7999878;0,090153217;507,1999817;0,10043405
593,2000122;0,090352274;506,7999878;0,102981679
593,5999756;0,090521298;506,3999939;0,105735429
