Wavelength (nm);Abs_HP;Abs_AT
492,3999939;0,447940677;0,168545306
492;0,450009465;0,170299411
491,6000061;0,452479661;0,171605483
491,1999817;0,45448488;0,172603577
490,7999878;0,456457734;0,173808098
490,3999939;0,459168196;0,174547121
490;0,460644573;0,176067948
489,6000061;0,462466031;0,177122682
489,1999817;0,463830471;0,178270936
488,7999878;0,46518594;0,178734824
488,3999939;0,467752844;0,180346832
488;0,468373805;0,180749834
487,6000061;0,469388157;0,180893421
487,1999817;0,470611125;0,182447791
486,7999878;0,471617699;0,182829052
486,3999939;0,472447008;0,184055507
486;0,473105729;0,184456468
485,6000061;0,473820865;0,184823006
485,1999817;0,475037664;0,185836807
484,7999878;0,475417346;0,186507478
484,3999939;0,475410521;0,186615706
484;0,477132201;0,187845588
483,6000061;0,477026671;0,187878296
483,1999817;0,478313804;0,188562229
