Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
570.4000244,0.3378827572,570.4000244,0.05498484522,570.4000244,0.1048321649,570.4000244,0.03851880878,570.4000244,0.1837972552,
570,0.3379357755,570,0.05424680561,570,0.103832528,570,0.03801551461,570,0.1821423024,
569.5999756,0.3356744349,569.5999756,0.05337397382,569.5999756,0.1031214148,569.5999756,0.03752913699,569.5999756,0.1798416525,
569.2000122,0.3356552422,569.2000122,0.05263352022,569.2000122,0.102282472,569.2000122,0.03711607307,569.2000122,0.178399846,
568.7999878,0.3356607258,568.7999878,0.05207724497,568.7999878,0.1014571711,568.7999878,0.03684903309,568.7999878,0.1766004413,
568.4000244,0.3357638717,568.4000244,0.05130686238,568.4000244,0.1003402695,568.4000244,0.03623298556,568.4000244,0.1747991145,
568,0.3356611729,568,0.05077052116,568,0.09960795194,568,0.03575110435,568,0.1733745933,
567.5999756,0.3358999491,567.5999756,0.04990516603,567.5999756,0.0986763984,567.5999756,0.03507046402,567.5999756,0.1715315878,
567.2000122,0.3359861672,567.2000122,0.04935265705,567.2000122,0.09798544645,567.2000122,0.03468771279,567.2000122,0.1699181199,
566.7999878,0.3359825015,566.7999878,0.0488646403,566.7999878,0.09718506783,566.7999878,0.03431919217,566.7999878,0.1686014086,
566.4000244,0.3360771537,566.4000244,0.04812031612,566.4000244,0.09649974853,566.4000244,0.03381746262,566.4000244,0.1670666784,
566,0.3362178206,566,0.04745721817,566,0.09573417902,566,0.03327044472,566,0.1656112224,
565.5999756,0.336168468,565.5999756,0.04713269696,565.5999756,0.09506885707,565.5999756,0.03291038796,565.5999756,0.1641366184,
565.2000122,0.3361661732,565.2000122,0.04652258754,565.2000122,0.09442785382,565.2000122,0.03262426332,565.2000122,0.1628931165,
564.7999878,0.3363391459,564.7999878,0.04588916525,564.7999878,0.09371452034,564.7999878,0.03216835856,564.7999878,0.1614513695,
564.4000244,0.3363595009,564.4000244,0.04537493363,564.4000244,0.09299965948,564.4000244,0.03188603744,564.4000244,0.1603407562,
564,0.336583823,564,0.04473982379,564,0.09222320467,564,0.03129659966,564,0.1589616835,
563.5999756,0.3364559412,563.5999756,0.0444727838,563.5999756,0.09173560888,563.5999756,0.03103377856,563.5999756,0.1579232514,
563.2000122,0.3363477588,563.2000122,0.04400923476,563.2000122,0.09133378416,563.2000122,0.03093292005,563.2000122,0.1570741534,
562.7999878,0.336322546,562.7999878,0.04369334877,562.7999878,0.09078184515,562.7999878,0.03048428521,562.7999878,0.1560088247,
562.4000244,0.3363368511,562.4000244,0.04324990511,562.4000244,0.09040065855,562.4000244,0.03017602861,562.4000244,0.1550702155,
562,0.3363155723,562,0.04287270829,562,0.08999653161,562,0.02999495156,562,0.1542820334,
561.5999756,0.3363104463,561.5999756,0.04253960401,561.5999756,0.08943798393,561.5999756,0.02976740152,561.5999756,0.1535059959,
561.2000122,0.336517185,561.2000122,0.04202732071,561.2000122,0.08894489706,561.2000122,0.02928391285,561.2000122,0.1524448395,
560.7999878,0.3364953101,560.7999878,0.04169272631,560.7999878,0.0885714516,560.7999878,0.02918755822,560.7999878,0.1517921239,
560.4000244,0.3364880681,560.4000244,0.04151324928,560.4000244,0.08816759288,560.4000244,0.02898530662,560.4000244,0.1510813385,
560,0.3364168704,560,0.04123742878,560,0.08776857704,560,0.02889922634,560,0.1504424214,
559.5999756,0.3363832533,559.5999756,0.04103990272,559.5999756,0.08764601499,559.5999756,0.0286535006,559.5999756,0.150092721,
559.2000122,0.3363898993,559.2000122,0.04076975584,559.2000122,0.08730583638,559.2000122,0.02836071514,559.2000122,0.1494049579,
558.7999878,0.3364810646,558.7999878,0.04064727947,558.7999878,0.08696532249,558.7999878,0.02815172262,558.7999878,0.1488846391,
558.4000244,0.336553514,558.4000244,0.04030357674,558.4000244,0.08669927716,558.4000244,0.02797521465,558.4000244,0.1484341621,
558,0.3365483284,558,0.04017581046,558,0.08658403158,558,0.02790261246,558,0.14797692,
557.5999756,0.336535871,557.5999756,0.0399212949,557.5999756,0.08639031649,557.5999756,0.02787539549,557.5999756,0.1477161199,
557.2000122,0.3366274834,557.2000122,0.03981131688,557.2000122,0.08593257517,557.2000122,0.02756288834,557.2000122,0.1473382562,
556.7999878,0.3366844654,556.7999878,0.03949064389,556.7999878,0.08585458994,556.7999878,0.02739089169,556.7999878,0.1469960213,
556.4000244,0.3365961611,556.4000244,0.03951723501,556.4000244,0.08575353771,556.4000244,0.02751393244,556.4000244,0.1468406916,
556,0.3365417719,556,0.03952835128,556,0.08572521806,556,0.02759394608,556,0.1468903571,
555.5999756,0.336600244,555.5999756,0.03944032267,555.5999756,0.08551171422,555.5999756,0.02738551609,555.5999756,0.1466926932,
555.2000122,0.3366746306,555.2000122,0.03925038502,555.2000122,0.08545151353,555.2000122,0.02723445371,555.2000122,0.1464203298,
554.7999878,0.3366820812,554.7999878,0.03925506026,554.7999878,0.08533669263,554.7999878,0.02725804783,554.7999878,0.1463672817,
554.4000244,0.3367750347,554.4000244,0.03908873722,554.4000244,0.08514970541,554.4000244,0.02718446031,554.4000244,0.1463102847,
554,0.3367047012,554,0.03906848654,554,0.08529592305,554,0.02718727291,554,0.1464570612,
553.5999756,0.3366192281,553.5999756,0.03907984495,553.5999756,0.08536810428,553.5999756,0.02731954493,553.5999756,0.1465236545,
553.2000122,0.3367245495,553.2000122,0.03894054517,553.2000122,0.08523569256,553.2000122,0.02721755952,553.2000122,0.1465209723,
552.7999878,0.3366529346,552.7999878,0.03907027096,552.7999878,0.08538430184,552.7999878,0.02724942006,552.7999878,0.1467387378,
552.4000244,0.3366248012,552.4000244,0.03907811642,552.4000244,0.08541373163,552.4000244,0.02733294107,552.4000244,0.1467639953,
552,0.3366885781,552,0.03900394589,552,0.08530902863,552,0.02742425539,552,0.1468759775,
551.5999756,0.3367762566,551.5999756,0.03907573596,551.5999756,0.08541764319,551.5999756,0.0270992592,551.5999756,0.1469674408,
551.2000122,0.336796999,551.2000122,0.0392100662,551.2000122,0.08544001728,551.2000122,0.02723246999,551.2000122,0.1471821517,
550.7999878,0.3368261158,550.7999878,0.03924094886,550.7999878,0.08556441963,550.7999878,0.02718470991,550.7999878,0.1474729627,
550.4000244,0.3369733989,550.4000244,0.03913975134,550.4000244,0.08538625389,550.4000244,0.02711287141,550.4000244,0.1475842148,
550,0.3368735611,550,0.03920054808,550,0.08534585685,550,0.02742607519,550,0.1478570849,
549.5999756,0.3368888497,549.5999756,0.03918850794,549.5999756,0.0856551826,549.5999756,0.02748980187,549.5999756,0.1482741088,
